name,triedVariants
"Anna Salai LIC",10
"Vepery Bus Stop",10
"Egmore Bus Stand",10
"High Court / Marina",10
"Royapuram Market",10
"Saidapet Bus Stand",10
"Pondy Bazaar",10
"Vadapalani Bus Stand",10
"Vadapalani Arangam",10
"Ekkaduthangal",10
"Tambaram Bus Stand",10
"Mogappair East",10
"Ambattur Bazaar",10
"HVF",10
"Vanagaram",10
"Mint Building",10
"Tondiarpet Bus Stand",10
"G K M Colony",10
"Alwar Thirunagar",10
"Koyambedu Bus Terminus",10
"D.G. Vaishnav College",10
"TTTI Taramani",10
"Semmencherry",10
"Nandiambakkam",10
"Kundrathur",10
"Navalur Junction",10
"OMR feeder",10
"Alwarthirunagar",8
"Ambattur O.T.",8
"Anna Square Bus Terminus",8
"Bells Road",8
"Broadway Bus Stand",8
"Chitlapakkam",8
"Covelong",8
"Ega Theatre",8
"Ganeshapuram",8
"Kadambathur",8
"Kellys Corner",8
"Kilpauk Medical College (KMC)",8
"Loyola College Back Gate",8
"M.A. Chidambaram Stadium",8
"Madambakkam",8
"Manimangalam",8
"Motcham Theatre",8
"Nolambur",8
"Parry's Corner Bus Stand",8
"Ponmar",8
"Pudur",8
"Purasawalkam Tank",8
"Royapuram Bus Stand",8
"SIET College",8
"Sangam Theatre",8
"Tambaram Sanatorium",8
"Teynampet (Signal)",8
"Thirumudivakkam",8
"Thiruninravur",8
"Thiruvanmiyur Bus Depot",8
"Thiruverkadu",8
"Tiruvanmiyur Bus Depot",8
"Tiruvanmiyur Depot",8
"Tondiarpet Railway Colony",8
"Triplicane Bus Stand",8
"US Consulate",8
"Urapakkam",8
"Vadagarai",8
"Vadapalani Bus Depot",8
"Vepery Police Station",8
"Vivekananda House",8
"West Tambaram Bus Terminus",8
